,open,high,low,close,volume,adj_high,adj_low,adj_close,adj_open,adj_volume,split_factor,dividend,symbol,exchange,date
84,50.33,50.61,48.89,49.48,5642259.0,,,49.48,,,1.0,0.0,AA,XNYS,2022-08-31T00:00:00+0000
85,54.89,54.89,50.04,50.79,7727328.0,,,50.79,,,1.0,0.0,AA,XNYS,2022-08-30T00:00:00+0000
86,55.17,56.87,54.69,55.5,5514388.0,,,55.5,,,1.0,0.0,AA,XNYS,2022-08-29T00:00:00+0000
87,57.67,58.235,55.2,55.84,5504100.0,,,55.84,,,1.0,0.0,AA,XNYS,2022-08-26T00:00:00+0000
88,55.19,57.0,54.4,56.92,4967800.0,,,56.92,,,1.0,0.0,AA,XNYS,2022-08-25T00:00:00+0000
89,52.11,54.46,51.77,54.43,4934500.0,,,54.43,,,1.0,0.0,AA,XNYS,2022-08-24T00:00:00+0000
90,51.06,53.875,50.67,53.09,5265300.0,,,53.09,,,1.0,0.0,AA,XNYS,2022-08-23T00:00:00+0000
91,50.0,50.95,49.06,50.27,4339800.0,,,50.27,,,1.0,0.0,AA,XNYS,2022-08-22T00:00:00+0000
92,52.53,52.78,50.685,51.01,4466700.0,,,51.01,,,1.0,0.0,AA,XNYS,2022-08-19T00:00:00+0000
93,52.57,54.2,52.36,53.84,3983800.0,,,53.84,,,1.0,0.0,AA,XNYS,2022-08-18T00:00:00+0000
94,52.03,52.43,51.29,51.98,4020040.0,,,51.98,,,1.0,0.0,AA,XNYS,2022-08-17T00:00:00+0000
95,52.8,53.89,52.59,53.12,4918907.0,,,53.12,,,1.0,0.0,AA,XNYS,2022-08-16T00:00:00+0000
96,50.59,52.18,49.93,51.7,3759804.0,,,51.7,,,1.0,0.0,AA,XNYS,2022-08-15T00:00:00+0000
97,52.4,53.43,51.77,52.76,4261200.0,,,52.76,,,1.0,0.0,AA,XNYS,2022-08-12T00:00:00+0000
98,54.27,55.62,53.12,53.27,4479630.0,,,53.27,,,1.0,0.0,AA,XNYS,2022-08-11T00:00:00+0000
99,51.32,53.45,50.795,52.95,5676600.0,,,52.95,,,1.0,0.0,AA,XNYS,2022-08-10T00:00:00+0000
