,name,symbol,has_intraday,has_eod,country,acronym,country_code,city
336,TC ENERGY CORP.,TRP.XTSE,False,True,Canada,TSX,CA,Toronto
337,BANK OF MONTREAL,BMO.XTSE,False,True,Canada,TSX,CA,Toronto
338,SUNCOR ENERGY INC.,SU.XTSE,False,True,Canada,TSX,CA,Toronto
339,BCE INC.,BCE.XTSE,False,True,Canada,TSX,CA,Toronto
340,THOMSON REUTERS CORPORATION,TRI.XTSE,False,True,Canada,TSX,CA,Toronto
341,NEWMONT CORPORATION,NGT.XTSE,False,True,Canada,TSX,CA,Toronto
342,BARRICK GOLD CORPORATION,ABX.XTSE,False,True,Canada,TSX,CA,Toronto
345,CANADIAN PACIFIC RAILWAY LIMITED,CP.XTSE,False,True,Canada,TSX,CA,Toronto
346,CANADIAN IMPERIAL BANK OF COMMERCE,CM.XTSE,False,True,Canada,TSX,CA,Toronto
347,MANULIFE FIN,MFC.XTSE,False,True,Canada,TSX,CA,Toronto
348,CDN NATURAL RES,CNQ.XTSE,False,True,Canada,TSX,CA,Toronto
349,RESTAURANT BRANDS INTERNATIONAL INC,QSR.XTSE,False,True,Canada,TSX,CA,Toronto
350,WASTE CONNECTIONS INC,WCN.XTSE,False,True,Canada,TSX,CA,Toronto
351,SUN LIFE FINANCIAL INC.,SLF.XTSE,False,True,Canada,TSX,CA,Toronto
355,NUTRIEN LTD,NTR.XTSE,False,True,Canada,TSX,CA,Toronto
356,TELUS CORPORATION,T.XTSE,False,True,Canada,TSX,CA,Toronto
357,CONSTELLATION SOFTWARE INC.,CSU.XTSE,False,True,Canada,TSX,CA,Toronto
358,GREAT-WEST LIFECO INC,GWO.XTSE,False,True,Canada,TSX,CA,Toronto
359,FRANCO-NEVADA CORPORATION,FNV.XTSE,False,True,Canada,TSX,CA,Toronto
360,FORTIS INC,FTS.XTSE,False,True,Canada,TSX,CA,Toronto
362,PEMBINA PIPELINE CORPORATION,PPL.XTSE,False,True,Canada,TSX,CA,Toronto
363,LOBLAW CO,L.XTSE,False,True,Canada,TSX,CA,Toronto
364,NATIONAL BANK OF CANADA,NA.XTSE,False,True,Canada,TSX,CA,Toronto
365,IMPERIAL OIL,IMO.XTSE,False,True,Canada,TSX,CA,Toronto
367,INTACT FINANCIAL CORPORATION,IFC.XTSE,False,True,Canada,TSX,CA,Toronto
368,"POWER CORPORATION OF CANADA, SV",POW.XTSE,False,True,Canada,TSX,CA,Toronto
370,MAGNA INTERNATIONAL INC,MG.XTSE,False,True,Canada,TSX,CA,Toronto
371,WHEATON PRECIOUS METALS CORP,WPM.XTSE,False,True,Canada,TSX,CA,Toronto
373,FAIRFAX FINANCIAL HOLDINGS LTD.,FFH.XTSE,False,True,Canada,TSX,CA,Toronto
374,HYDRO ONE LIMITED,H.XTSE,False,True,Canada,TSX,CA,Toronto
375,WESTON GEORGE,WN.XTSE,False,True,Canada,TSX,CA,Toronto
376,OPEN TEXT CORPORATION,OTEX.XTSE,False,True,Canada,TSX,CA,Toronto
377,AGNICO EAGLE MINES LIMITED,AEM.XTSE,False,True,Canada,TSX,CA,Toronto
378,SAPUTO INC.,SAP.XTSE,False,True,Canada,TSX,CA,Toronto
381,CERIDIAN HCM HOLDINGS INC,CDAY.XTSE,False,True,Canada,TSX,CA,Toronto
382,EMERA INCORPORATED,EMA.XTSE,False,True,Canada,TSX,CA,Toronto
383,SHAW COMMUNICATIONS INC.,SJR.A.XTSX,False,True,Canada,XTSX,CA,Toronto
384,METRO INC,MRU.XTSE,False,True,Canada,TSX,CA,Toronto
