"LOCATION","Country","VARIABLE","Variable","FREQUENCY","Frequency","TIME","Time","Value","Flag Codes","Flags"
"USA","United States","HIGH_YO2Y","Weekly tracker (yo2y) - Confidence interval - High","W","Weekly","2022W2","16-Jan-22",2.45006974360875,,
"USA","United States","LOW_COUNTERFACTUAL","Weekly tracker (counterfactual) - Confidence interval - Low","W","Weekly","2022W2","16-Jan-22",-5.8254116845124,,
"USA","United States","HIGH_COUNTERFACTUAL","Weekly tracker (counterfactual) - Confidence interval - High","W","Weekly","2022W2","16-Jan-22",-1.49218724966604,,
"IRL","Ireland","TRACKER_YOY","Weekly tracker, year-on-year (YoY)","W","Weekly","2022W3","23-Jan-22",12.4172812973526,,
"IRL","Ireland","TRACKER_YO2Y","Weekly tracker, year over 2 years (yo2y)","W","Weekly","2022W3","23-Jan-22",4.73293765953201,,
"IRL","Ireland","TRACKER_COUNTERFACTUAL","Weekly tracker, counterfactual","W","Weekly","2022W3","23-Jan-22",-1.24738738251908,,
"IRL","Ireland","LOW_YOY","Weekly tracker (yoy) - Confidence interval - Low","W","Weekly","2022W3","23-Jan-22",8.49715992360666,,
"IRL","Ireland","HIGH_YOY","Weekly tracker (yoy) - Confidence interval - High","W","Weekly","2022W3","23-Jan-22",17.43986585009,,
"IRL","Ireland","LOW_YO2Y","Weekly tracker (yo2y) - Confidence interval - Low","W","Weekly","2022W3","23-Jan-22",1.7256542170623,,
"IRL","Ireland","HIGH_YO2Y","Weekly tracker (yo2y) - Confidence interval - High","W","Weekly","2022W3","23-Jan-22",7.31510489871664,,
"IRL","Ireland","LOW_COUNTERFACTUAL","Weekly tracker (counterfactual) - Confidence interval - Low","W","Weekly","2022W3","23-Jan-22",-4.08295280693787,,
"IRL","Ireland","HIGH_COUNTERFACTUAL","Weekly tracker (counterfactual) - Confidence interval - High","W","Weekly","2022W3","23-Jan-22",1.18733627541645,,
"IRL","Ireland","TRACKER_YOY","Weekly tracker, year-on-year (YoY)","W","Weekly","2022W4","30-Jan-22",10.8938006984723,,
"IRL","Ireland","TRACKER_YO2Y","Weekly tracker, year over 2 years (yo2y)","W","Weekly","2022W4","30-Jan-22",3.63361203958787,,
"IRL","Ireland","TRACKER_COUNTERFACTUAL","Weekly tracker, counterfactual","W","Weekly","2022W4","30-Jan-22",-2.28394072965931,,
"IRL","Ireland","LOW_YOY","Weekly tracker (yoy) - Confidence interval - Low","W","Weekly","2022W4","30-Jan-22",6.00254973771964,,
"IRL","Ireland","HIGH_YOY","Weekly tracker (yoy) - Confidence interval - High","W","Weekly","2022W4","30-Jan-22",15.7988111727513,,
"IRL","Ireland","LOW_YO2Y","Weekly tracker (yo2y) - Confidence interval - Low","W","Weekly","2022W4","30-Jan-22",0.700745366154753,,
"IRL","Ireland","HIGH_YO2Y","Weekly tracker (yo2y) - Confidence interval - High","W","Weekly","2022W4","30-Jan-22",6.40640181409449,,
"IRL","Ireland","LOW_COUNTERFACTUAL","Weekly tracker (counterfactual) - Confidence interval - Low","W","Weekly","2022W4","30-Jan-22",-5.0493386353477,,
"IRL","Ireland","HIGH_COUNTERFACTUAL","Weekly tracker (counterfactual) - Confidence interval - High","W","Weekly","2022W4","30-Jan-22",0.330520781596144,,
"GBR","United Kingdom","TRACKER_YOY","Weekly tracker, year-on-year (YoY)","W","Weekly","2022W3","23-Jan-22",11.9269869804446,,
"GBR","United Kingdom","TRACKER_YO2Y","Weekly tracker, year over 2 years (yo2y)","W","Weekly","2022W3","23-Jan-22",0.351013689178907,,
