symbol,Unnamed: 0,name,has_intraday,has_eod,acronym
MUTC34.BVMF,271,MICRON TECHNDRN,False,True,Bovespa
PNCS34.BVMF,272,PNCFNANCIAL DRN,False,True,Bovespa
BIIB34.BVMF,273,BIOGEN DRN,False,True,Bovespa
U1BE34.BVMF,274,UBER TECH INDRN,False,True,Bovespa
NOCG34.BVMF,275,NORTHROP GRUDRN,False,True,Bovespa
TGTB34.BVMF,276,TARGET CORP DRN,False,True,Bovespa
CSXC34.BVMF,277,CSX CORP DRN,False,True,Bovespa
TAKP34.BVMF,278,TAKEDAPH DRN,False,True,Bovespa
SCHW34.BVMF,279,SCHWAB DRN,False,True,Bovespa
JDCO34.BVMF,280,JD COM DRN,False,True,Bovespa
COPH34.BVMF,281,COPHILLIPS DRN,False,True,Bovespa
VALE3.BVMF,282,VALE ON NM,False,True,Bovespa
EQIX34.BVMF,284,EQUINIX INC DRN,False,True,Bovespa
DEEC34.BVMF,285,DEERE CO DRN,False,True,Bovespa
ABEV3F.BVMF,286,AMBEV S/A ON,False,True,Bovespa
ABEV3.BVMF,287,AMBEV S/A ON,False,True,Bovespa
BBDC3.BVMF,289,BRADESCO ON N1,False,True,Bovespa
MCOR34.BVMF,291,MOODYS CORP DRN,False,True,Bovespa
GDBR34.BVMF,293,GEN DYNAMICSDRN,False,True,Bovespa
ATVI34.BVMF,294,ACTIVISION DRN,False,True,Bovespa
KMIC34.BVMF,295,KINDER MORGADRN,False,True,Bovespa
HOND34.BVMF,296,HONDA MO DRN,False,True,Bovespa
GMCO34.BVMF,297,GENERAL MOT DRN,False,True,Bovespa
WGBA34.BVMF,298,WALGREENS DRN,False,True,Bovespa
CAON34.BVMF,299,CAPITAL ONE DRN,False,True,Bovespa
METB34.BVMF,300,METLIFE INC DRN,False,True,Bovespa
DGCO34.BVMF,301,DOLLAR GENERDRN,False,True,Bovespa
SIMN34.BVMF,302,SIMON PROP DRN,False,True,Bovespa
ROST34.BVMF,303,ROSS STORES DRN,False,True,Bovespa
NETE34.BVMF,304,NETEASE DRN,False,True,Bovespa
UBSG34.BVMF,305,UBS GROUP DRN,False,True,Bovespa
FDXB34.BVMF,308,FEDEX CORP DRN,False,True,Bovespa
BONY34.BVMF,309,BNY MELLON DRN,False,True,Bovespa
CTSH34.BVMF,310,COGNIZANT DRN,False,True,Bovespa
STZB34.BVMF,311,CONSTELLATIODRN,False,True,Bovespa
DDNB34.BVMF,312,DUPONT N INCDRN,False,True,Bovespa
BIDU34.BVMF,313,BAIDU INC DRN,False,True,Bovespa
