symbol,date,Unnamed: 0,open,high,low,close,volume,adj_high,adj_low,adj_close,adj_open,adj_volume,split_factor,dividend,exchange
DGE.XLON,2022-10-26 00:00:00+00:00,46,3616.5,3616.5,3505.0,3581.5,2028916.0,,,3581.5,,,1.0,0.0,XLON
DGE.XLON,2022-10-25 00:00:00+00:00,47,3618.5,3640.0,3578.5,3629.5,1625691.0,,,3629.5,,,1.0,0.0,XLON
DGE.XLON,2022-10-24 00:00:00+00:00,48,3613.0,3640.5,3581.0,3608.5,1814478.0,,,3608.5,,,1.0,0.0,XLON
DGE.XLON,2022-10-21 00:00:00+00:00,49,3580.0,3585.0,3517.0,3580.0,2414749.0,,,3580.0,,,1.0,0.0,XLON
DGE.XLON,2022-10-20 00:00:00+00:00,50,3651.5,3651.5,3581.0,3609.0,3324272.0,,,3609.0,,,1.0,0.0,XLON
DGE.XLON,2022-10-19 00:00:00+00:00,51,3680.5,3688.5,3640.0,3661.5,2731704.0,,,3661.5,,,1.0,0.0,XLON
DGE.XLON,2022-10-18 00:00:00+00:00,52,3706.0,3712.178,3667.5,3680.0,1501134.0,,,3680.0,,,1.0,0.0,XLON
DGE.XLON,2022-10-17 00:00:00+00:00,53,3658.0,3687.5,3644.0,3669.0,1646349.0,,,3669.0,,,1.0,0.0,XLON
DGE.XLON,2022-10-14 00:00:00+00:00,54,3659.5,3717.0,3638.5,3667.0,2009811.0,,,3667.0,,,1.0,0.0,XLON
DGE.XLON,2022-10-13 00:00:00+00:00,55,3684.0,3689.3384,3538.5,3615.5,4518992.0,,,3615.5,,,1.0,0.0,XLON
DGE.XLON,2022-10-12 00:00:00+00:00,56,3655.0,3722.0,3652.3345,3697.5,2792456.0,,,3697.5,,,1.0,0.0,XLON
DGE.XLON,2022-10-11 00:00:00+00:00,57,3644.0,3671.0,3608.5,3661.5,2048998.0,,,3661.5,,,1.0,0.0,XLON
DGE.XLON,2022-10-10 00:00:00+00:00,58,3698.5,3711.2219,3608.0,3646.0,2084456.0,,,3646.0,,,1.0,0.0,XLON
DGE.XLON,2022-10-07 00:00:00+00:00,59,3719.5,3770.5,3714.5,3733.5,2709457.0,,,3733.5,,,1.0,0.0,XLON
DGE.XLON,2022-10-06 00:00:00+00:00,60,3794.0,3818.0,3712.5,3728.5,2218799.0,,,3728.5,,,1.0,0.0,XLON
DGE.XLON,2022-10-05 00:00:00+00:00,61,3762.5,3809.0,3739.53,3781.5,2710032.0,,,3781.5,,,1.0,0.0,XLON
DGE.XLON,2022-10-04 00:00:00+00:00,62,3732.5,3820.5,3689.0,3791.5,3814125.0,,,3791.5,,,1.0,0.0,XLON
DGE.XLON,2022-10-03 00:00:00+00:00,63,3745.0,3771.0,3689.5,3707.5,4652761.0,,,3707.5,,,1.0,0.0,XLON
DGE.XLON,2022-09-30 00:00:00+00:00,64,3783.5,3800.5,3729.0,3797.5,4883825.0,,,3797.5,,,1.0,0.0,XLON
DGE.XLON,2022-09-29 00:00:00+00:00,65,3789.0,3831.0,3743.0,3782.0,2586152.0,,,3782.0,,,1.0,0.0,XLON
DGE.XLON,2022-09-28 00:00:00+00:00,66,3810.0,3846.0,3784.5,3823.0,3415272.0,,,3823.0,,,1.0,0.0,XLON
DGE.XLON,2022-09-27 00:00:00+00:00,67,3872.0,3937.0,3852.0,3853.0,5684321.0,,,3853.0,,,1.0,0.0,XLON
DGE.XLON,2022-09-26 00:00:00+00:00,68,3806.5,3869.0,3764.5,3850.0,3341541.0,,,3850.0,,,1.0,0.0,XLON
DGE.XLON,2022-09-23 00:00:00+00:00,69,3767.5,3783.5,3707.5,3771.0,2348885.0,,,3771.0,,,1.0,0.0,XLON
DGE.XLON,2022-09-22 00:00:00+00:00,70,3780.5,3836.5,3758.0,3759.0,1939247.0,,,3759.0,,,1.0,0.0,XLON
DGE.XLON,2022-09-21 00:00:00+00:00,71,3745.5,3802.5,3716.0,3801.0,1808988.0,,,3801.0,,,1.0,0.0,XLON
DGE.XLON,2022-09-20 00:00:00+00:00,72,3779.0,3847.0,3744.0,3753.5,2303771.0,,,3753.5,,,1.0,0.0,XLON
DGE.XLON,2022-09-16 00:00:00+00:00,73,3729.0,3781.0,3719.5,3745.0,5238091.0,,,3745.0,,,1.0,0.0,XLON
DGE.XLON,2022-09-15 00:00:00+00:00,74,3767.5,3780.0,3741.0,3763.5,1992417.0,,,3763.5,,,1.0,0.0,XLON
DGE.XLON,2022-09-14 00:00:00+00:00,75,3793.5,3806.0,3737.5,3763.5,3246892.0,,,3763.5,,,1.0,0.0,XLON
DGE.XLON,2022-09-13 00:00:00+00:00,76,3868.5,3876.5,3804.0,3804.0,2096638.0,,,3804.0,,,1.0,0.0,XLON
DGE.XLON,2022-09-12 00:00:00+00:00,77,3800.5,3835.5,3784.5,3835.5,2702899.0,,,3835.5,,,1.0,0.0,XLON
DGE.XLON,2022-09-09 00:00:00+00:00,78,3783.5,3809.5,3753.5,3797.0,1506500.0,,,3797.0,,,1.0,0.0,XLON
DGE.XLON,2022-09-08 00:00:00+00:00,79,3775.5,3780.0,3725.0,3770.5,1637895.0,,,3770.5,,,1.0,0.0,XLON
DGE.XLON,2022-09-07 00:00:00+00:00,80,3739.0,3765.5,3723.5,3754.5,2826790.0,,,3754.5,,,1.0,0.0,XLON
DGE.XLON,2022-09-06 00:00:00+00:00,81,3721.5,3785.5,3718.8965,3761.5,2312082.0,,,3761.5,,,1.0,0.0,XLON
DGE.XLON,2022-09-05 00:00:00+00:00,82,3719.0,3751.5,3695.0,3737.5,1637152.0,,,3737.5,,,1.0,0.0,XLON
DGE.XLON,2022-09-02 00:00:00+00:00,83,3761.5,3783.5,3727.0,3780.0,2563567.0,,,3780.0,,,1.0,0.0,XLON
DGE.XLON,2022-09-01 00:00:00+00:00,84,3767.5,3772.0,3715.5,3734.0,2242786.0,,,3734.0,,,1.0,0.0,XLON
DGE.XLON,2022-08-31 00:00:00+00:00,85,3780.5,3809.0,3755.5,3764.0,4727921.0,,,3764.0,,,1.0,0.0,XLON
DGE.XLON,2022-08-30 00:00:00+00:00,86,3808.0,3875.5,3789.0,3791.5,4218740.0,,,3791.5,,,1.0,0.0,XLON
DGE.XLON,2022-08-26 00:00:00+00:00,87,3857.5,3872.0,3808.5,3825.5,1728260.0,,,3825.5,,,1.0,0.0,XLON
DGE.XLON,2022-08-25 00:00:00+00:00,88,3872.0,3888.5,3841.0,3853.0,2394414.0,,,3853.0,,,1.0,0.0,XLON
DGE.XLON,2022-08-24 00:00:00+00:00,89,3863.0,3906.5,3838.0,3893.5,1832489.0,,,3893.5,,,1.0,0.0,XLON
DGE.XLON,2022-08-23 00:00:00+00:00,90,3905.0,3919.0,3852.0,3873.0,1773177.0,,,3873.0,,,1.0,0.0,XLON
DGE.XLON,2022-08-22 00:00:00+00:00,91,3926.5,3950.0,3917.5,3931.0,3176636.0,,,3931.0,,,1.0,0.0,XLON
DGE.XLON,2022-08-19 00:00:00+00:00,92,3900.5,3960.0,3888.5,3960.0,2947967.0,,,3960.0,,,1.0,0.0,XLON
DGE.XLON,2022-08-18 00:00:00+00:00,93,3879.0,3902.5,3871.5,3902.5,1193965.0,,,3902.5,,,1.0,0.0,XLON
DGE.XLON,2022-08-17 00:00:00+00:00,94,3857.5,3899.0,3851.0,3888.5,1372147.0,,,3888.5,,,1.0,0.0,XLON
DGE.XLON,2022-08-16 00:00:00+00:00,95,3881.5,3888.8601,3848.0,3848.0,1457221.0,,,3848.0,,,1.0,0.0,XLON
DGE.XLON,2022-08-15 00:00:00+00:00,96,3846.0,3880.5,3841.5,3866.0,991298.0,,,3866.0,,,1.0,0.0,XLON
